scene,native_B01,output_grid,retained_product,factor_B11,factor_B12,valid_pixels,negative_percent
20200728_S2A,H:\Sentinel-2\Tidung\L2A\S2A_MSIL2A_20200728T025551_N0500_R032_T48MXU_20230414T083054.SAFE\GRANULE\L2A_T48MXU_A026627_20200728T031928\IMG_DATA\R60m\T48MXU_20200728T025551_B01_60m.jp2,20 m aligned to final B02,RETAIN_CYCLE0,0.479539204486479,0.4921481499248428,112244,0.0
20210424_S2A,H:\Sentinel-2\Tidung\L2A\S2A_MSIL2A_20210424T025541_N0500_R032_T48MXU_20230520T151954.SAFE\GRANULE\L2A_T48MXU_A030488_20210424T030944\IMG_DATA\R60m\T48MXU_20210424T025541_B01_60m.jp2,20 m aligned to final B02,RETAIN_CYCLE0,0.5695806829174831,0.6096290165698404,112982,0.0
20210608_S2B,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20210608T025549_N0500_R032_T48MXU_20230314T064926.SAFE\GRANULE\L2A_T48MXU_A022223_20210608T031000\IMG_DATA\R60m\T48MXU_20210608T025549_B01_60m.jp2,20 m aligned to final B02,RETAIN_CYCLE0,0.5233850658851686,0.5488908194440244,112636,0.0
20210718_S2B,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20210718T025549_N0500_R032_T48MXU_20230128T143559.SAFE\GRANULE\L2A_T48MXU_A022795_20210718T031236\IMG_DATA\R60m\T48MXU_20210718T025549_B01_60m.jp2,20 m aligned to final B02,RETAIN_CYCLE0,0.5400877644988585,0.5709658738140968,112866,0.0
20210812_S2A,H:\Sentinel-2\Tidung\L2A\S2A_MSIL2A_20210812T025551_N0500_R032_T48MXU_20230129T233447.SAFE\GRANULE\L2A_T48MXU_A032061_20210812T030951\IMG_DATA\R60m\T48MXU_20210812T025551_B01_60m.jp2,20 m aligned to final B02,RETAIN_CYCLE0,0.5736328363608778,0.6163277121800663,112842,0.0
20220414_S2B,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20220414T025539_N0510_R032_T48MXU_20240606T110746.SAFE\GRANULE\L2A_T48MXU_A026656_20220414T031404\IMG_DATA\R60m\T48MXU_20220414T025539_B01_60m.jp2,20 m aligned to final B02,RETAIN_CYCLE0,0.5176855134035163,0.5376667295948411,113099,0.0
20220708_S2A,H:\Sentinel-2\Tidung\L2A\S2A_MSIL2A_20220708T025541_N0510_R032_T48MXU_20240616T123811.SAFE\GRANULE\L2A_T48MXU_A036780_20220708T031928\IMG_DATA\R60m\T48MXU_20220708T025541_B01_60m.jp2,20 m aligned to final B02,RETAIN_CYCLE0,0.5629788653428874,0.6046397209673828,112978,0.0
20230419_S2B,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20230419T025529_N0510_R032_T48MXU_20240831T021632.SAFE\GRANULE\L2A_T48MXU_A031947_20230419T030908\IMG_DATA\R60m\T48MXU_20230419T025529_B01_60m.jp2,20 m aligned to final B02,RETAIN_CYCLE0,0.5206048225483884,0.5417324578390955,111730,0.0
20230723_S2A,H:\Sentinel-2\Tidung\L2A\S2A_MSIL2A_20230723T025531_N0510_R032_T48MXU_20240916T185613.SAFE\GRANULE\L2A_T48MXU_A042214_20230723T030809\IMG_DATA\R60m\T48MXU_20230723T025531_B01_60m.jp2,20 m aligned to final B02,RETAIN_CYCLE0,0.5089966703940343,0.5312710365060288,112748,0.0
20230817_S2B,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20230817T025529_N0510_R032_T48MXU_20240822T114059.SAFE\GRANULE\L2A_T48MXU_A033663_20230817T031834\IMG_DATA\R60m\T48MXU_20230817T025529_B01_60m.jp2,20 m aligned to final B02,RETAIN_CYCLE0,0.5197173854015076,0.541491468133204,112106,0.0
